Date,Sales
01-01-2022,1106
02-01-2022,852
03-01-2022,863
04-01-2022,821
05-01-2022,598
06-01-2022,1017
07-01-2022,1074
08-01-2022,1329
09-01-2022,1021
10-01-2022,1063
11-01-2022,1068
12-01-2022,817
13-01-2022,717
14-01-2022,685
15-01-2022,1416
16-01-2022,1325
17-01-2022,1073
18-01-2022,602
19-01-2022,788
20-01-2022,1005
21-01-2022,1119
22-01-2022,852
23-01-2022,789
24-01-2022,464
25-01-2022,1138
26-01-2022,1142
27-01-2022,581
28-01-2022,668
29-01-2022,1189
30-01-2022,928
31-01-2022,988
01-02-2022,1145
02-02-2022,712
03-02-2022,1168
04-02-2022,957
05-02-2022,950
06-02-2022,1142
07-02-2022,839
08-02-2022,752
09-02-2022,887
10-02-2022,1022
11-02-2022,741
12-02-2022,1033
13-02-2022,851
14-02-2022,862
15-02-2022,1060
16-02-2022,1063
17-02-2022,1230
18-02-2022,686
19-02-2022,805
20-02-2022,924
21-02-2022,1312
22-02-2022,973
23-02-2022,1152
24-02-2022,958
25-02-2022,1052
26-02-2022,1015
27-02-2022,883
28-02-2022,841
01-03-2022,1104
02-03-2022,1265
03-03-2022,1245
04-03-2022,877
05-03-2022,800
06-03-2022,771
07-03-2022,1310
08-03-2022,1075
09-03-2022,1266
10-03-2022,1168
11-03-2022,973
12-03-2022,766
13-03-2022,1120
14-03-2022,1097
15-03-2022,1327
16-03-2022,956
17-03-2022,961
18-03-2022,943
19-03-2022,1010
20-03-2022,998
21-03-2022,963
22-03-2022,1171
23-03-2022,950
24-03-2022,971
25-03-2022,923
26-03-2022,694
27-03-2022,673
28-03-2022,1012
29-03-2022,835
30-03-2022,1023
31-03-2022,781
01-04-2022,534
02-04-2022,1099
03-04-2022,1043
04-04-2022,961
05-04-2022,1142
06-04-2022,846
07-04-2022,583
08-04-2022,875
09-04-2022,805
10-04-2022,1043
11-04-2022,1213
12-04-2022,1283
13-04-2022,1086
14-04-2022,1186
15-04-2022,1310
16-04-2022,1072
17-04-2022,922
18-04-2022,947
19-04-2022,1044
20-04-2022,1132
21-04-2022,1294
22-04-2022,790
23-04-2022,1233
24-04-2022,1278
25-04-2022,1155
26-04-2022,868
27-04-2022,1168
28-04-2022,772
29-04-2022,911
30-04-2022,1202
01-05-2022,870
02-05-2022,903
03-05-2022,824
04-05-2022,1153
05-05-2022,1542
06-05-2022,960
07-05-2022,1170
08-05-2022,768
09-05-2022,969
10-05-2022,1127
11-05-2022,552
12-05-2022,1272
13-05-2022,1155
14-05-2022,792
15-05-2022,839
16-05-2022,920
17-05-2022,863
18-05-2022,614
19-05-2022,1106
20-05-2022,914
21-05-2022,1027
22-05-2022,1047
23-05-2022,737
24-05-2022,679
25-05-2022,1235
26-05-2022,1011
27-05-2022,917
28-05-2022,1103
29-05-2022,1300
30-05-2022,727
31-05-2022,1058
01-06-2022,838
02-06-2022,1196
03-06-2022,1237
04-06-2022,897
05-06-2022,1333
06-06-2022,1196
07-06-2022,1168
08-06-2022,892
09-06-2022,1078
10-06-2022,777
11-06-2022,868
12-06-2022,1086
13-06-2022,1049
14-06-2022,952
15-06-2022,1234
16-06-2022,1022
17-06-2022,1231
18-06-2022,1123
19-06-2022,1014
20-06-2022,1254
21-06-2022,1031
22-06-2022,1111
23-06-2022,742
24-06-2022,1046
25-06-2022,1357
26-06-2022,888
27-06-2022,1238
28-06-2022,597
29-06-2022,958
30-06-2022,1118
01-07-2022,960
02-07-2022,1552
03-07-2022,1313
04-07-2022,1065
05-07-2022,548
06-07-2022,1000
07-07-2022,965
08-07-2022,1290
09-07-2022,855
10-07-2022,826
11-07-2022,1067
12-07-2022,815
13-07-2022,1035
14-07-2022,699
15-07-2022,1040
16-07-2022,1146
17-07-2022,1367
18-07-2022,1033
19-07-2022,1080
20-07-2022,1098
21-07-2022,1161
22-07-2022,1100
23-07-2022,917
24-07-2022,1292
25-07-2022,710
26-07-2022,1000
27-07-2022,944
28-07-2022,843
29-07-2022,1000
30-07-2022,1102
31-07-2022,1185
01-08-2022,1149
